'Papua New Guinea', 'PNG', 'PGK', '', 'Papua New Guinean Kina', '2.054549', 'Active', 'No', 'No',
'Philippines', 'PHL', 'PHP', '?', 'Philippine Peso', '42.135849', 'Active', 'No', 'Yes',
'Pakistan', 'PAK', 'PKR', '', 'Pakistani Rupee', '94.023294', 'Active', 'No', 'No',
'Poland', 'POL', 'PLN', 'zl', 'Polish Zloty', '3.247987', 'Active', 'No', 'Yes',
'Paraguay', 'PRY', 'PYG', '', 'Paraguayan Guarani', '4410.84861', 'Active', 'No', 'No',
'Qatar', 'QAT', 'QAR', '', 'Qatari Rial', '3.640912', 'Active', 'No', 'No',
'Romania', 'ROU', 'RON', '', 'Romanian Leu', '3.577474', 'Active', 'No', 'No',
'Serbia', 'SRB', 'RSD', '', 'Serbian Dinar', '93.726442', 'Active', 'No', 'No',
'Russia', 'RUS', 'RUB', '', 'Russian Ruble', '31.697677', 'Active', 'No', 'No',
'Rwanda', 'RWA', 'RWF', '', 'Rwandan Franc', '609.539388', 'Active', 'No', 'No',
'Saudi Arabia', 'SAU', 'SAR', '', 'Saudi Riyal', '3.750176', 'Active', 'No', 'No',
'Solomon Islands', 'SLB', 'SBD', '', 'Solomon Islands Dollar', '7.065961', 'Active', 'No', 'No',
'Seychelles', 'SYC', 'SCR', '', 'Seychellois Rupee', '13.040057', 'Active', 'No', 'No',
'Sudan', 'SDN', 'SDG', '', 'Sudanese Pound', '4.4152', 'Active', 'No', 'No',
'Sweden', 'SWE', 'SEK', 'kr', 'Swedish Krona', '6.635852', 'Active', 'No', 'Yes',
'Singapore', 'SGP', 'SGD', '$', 'Singapore Dollar', '1.245888', 'Active', 'No', 'Yes',
'Saint Helena', 'SHN', 'SHP', '', 'Saint Helena Pound', '0.629755', 'Active', 'No', 'No',
'Sierra Leone', 'SLE', 'SLL', '', 'Sierra Leonean Leone', '4361.775363', 'Active', 'No', 'No',
'Somalia', 'SOM', 'SOS', '', 'Somali Shilling', '1617.456667', 'Active', 'No', 'No',
'Suriname', 'SUR', 'SRD', '', 'Surinamese Dollar', '3.275', 'Active', 'No', 'No',
'Sao Tome and Principe', 'STP', 'STD', '', 'Sao Tomé and Príncipe Dobra', '20072.246667', 'Active', 'No', 'No',
'El Salvador', 'SLV', 'SVC', '', 'Salvadoran Colon', '8.71802', 'Active', 'No', 'No',
'Syria', 'SYR', 'SYP', '', 'Syrian Pound', '65.246168', 'Active', 'No', 'No',
'Swaziland', 'SWZ', 'SZL', '', 'Swazi Lilangeni', '8.261117', 'Active', 'No', 'No',
'Thailand', 'THA', 'THB', '?', 'Thai Baht', '31.214507', 'Active', 'No', 'Yes',
'Tajikistan', 'TJK', 'TJS', '', 'Tajikistani Somoni', '4.5819', 'Active', 'No', 'No',
'Turkmenistan', 'TKM', 'TMT', '', 'Turkmenistani Manat', '2.8503', 'Active', 'No', 'No',
'Tunisia', 'TUN', 'TND', '', 'Tunisian Dinar', '1.596925', 'Active', 'No', 'No',
'Tonga', 'TON', 'TOP', '', 'Tongan Pa''anga', '1.751448', 'Active', 'No', 'No',
'Turkey', 'TUR', 'TRY', '', 'Turkish Lira', '1.795137', 'Active', 'No', 'No',
'Trinidad and Tobago', 'TTO', 'TTD', '', 'Trinidad and Tobago Dollar', '6.376663', 'Active', 'No', 'No',
'Taiwan', 'TWN', 'TWD', 'NT$', 'New Taiwan Dollar', '29.878845', 'Active', 'No', 'Yes',
'Tanzania', 'TZA', 'TZS', '', 'Tanzanian Shilling', '1567.94676', 'Active', 'No', 'No',
'Ukraine', 'UKR', 'UAH', '', 'Ukrainian Hryvnia', '8.074449', 'Active', 'No', 'No',
'Uganda', 'UGA', 'UGX', '', 'Ugandan Shilling', '2499.07562', 'Active', 'No', 'No',
'American Samoa', 'ASM', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
'British Indian Ocean Territory', 'IOT', 'USD', '', 'United States Dollar', '1', 'Active', 'No', 'No',
